,MAO,ITA,BOR,MNC
2024-10-07,12.29,0.12,6.62,2.17
2024-10-08,12.17,0.08,6.61,2.14
2024-10-09,12.11,0.04,6.60,2.09
2024-10-10,12.11,0.02,6.60,2.08
2024-10-11,12.11,-0.06,6.58,2.08
2024-10-12,12.11,-0.11,6.57,2.08
2024-10-13,12.12,-0.13,6.57,2.08
2024-10-14,12.13,-0.11,6.57,2.08
2024-10-15,12.16,-0.07,6.57,2.08
2024-10-16,12.20,-0.02,6.54,2.15
2024-10-17,12.25,0.04,6.46,2.19
2024-10-18,12.30,0.09,6.46,2.23
2024-10-19,12.34,0.14,6.42,2.27
2024-10-20,12.37,0.19,6.39,2.33
2024-10-21,12.40,0.22,6.33,2.38
2024-10-22,12.46,0.27,6.39,2.42
2024-10-23,12.50,0.28,6.40,2.44
2024-10-24,12.50,0.20,6.40,2.42
2024-10-25,12.46,0.12,6.40,2.40
2024-10-26,12.41,0.04,6.40,2.35
2024-10-27,12.35,-0.03,6.42,2.30
2024-10-28,12.29,-0.07,6.48,2.24
2024-10-29,12.25,-0.13,6.51,2.19
2024-10-30,12.21,-0.15,6.57,2.18
2024-10-31,12.18,-0.17,6.61,2.19
2024-11-01,12.18,-0.15,6.67,2.20
2024-11-02,12.18,-0.14,6.69,2.22
2024-11-03,12.18,-0.13,6.72,2.23
2024-11-04,12.17,-0.12,6.77,2.24
2024-11-05,12.18,-0.09,6.78,2.25
2024-11-06,12.18,-0.12,6.86,2.27
2024-11-07,12.19,-0.13,6.88,2.34
2024-11-08,12.23,-0.11,6.89,2.42
2024-11-09,12.33,-0.06,6.93,2.55
2024-11-10,12.43,-0.02,7.08,2.84
2024-11-11,12.53,0.07,7.14,3.06
2024-11-12,12.67,0.15,7.17,3.37
2024-11-13,12.88,0.30,7.40,3.65
2024-11-14,13.09,0.49,7.52,3.97
2024-11-15,13.28,0.67,7.61,4.24
2024-11-16,13.47,0.84,7.69,4.46
2024-11-17,13.66,1.01,7.76,4.64
2024-11-18,13.85,1.15,7.80,4.78
2024-11-19,13.97,1.29,7.88,4.90
2024-11-20,14.07,1.43,7.97,4.95
2024-11-21,14.15,1.51,8.08,5.00
2024-11-22,14.18,1.55,8.24,5.02
2024-11-23,14.20,1.51,8.38,5.03
2024-11-24,14.22,1.52,8.52,5.03
2024-11-25,14.25,1.56,8.74,5.01
2024-11-26,14.26,1.58,8.90,5.00
2024-11-27,14.28,1.61,9.02,5.00
2024-11-28,14.30,1.65,9.11,5.00
2024-11-29,14.33,1.70,9.20,5.01
2024-11-30,14.37,1.73,9.32,5.05
2024-12-01,14.41,1.78,9.49,5.09
2024-12-02,14.45,1.82,9.61,5.15
2024-12-03,14.49,1.89,9.79,5.21
2024-12-04,14.57,1.97,9.97,5.30
2024-12-05,14.65,2.03,10.10,5.41
2024-12-06,14.75,2.16,10.23,5.58
2024-12-07,14.86,2.26,10.32,5.76
2024-12-08,14.98,2.35,10.39,5.91
2024-12-09,15.10,2.43,10.47,6.06
2024-12-10,15.23,2.53,10.55,6.20
2024-12-11,15.34,2.61,10.64,6.34
2024-12-12,15.44,2.71,10.75,6.49
2024-12-13,15.54,2.83,10.84,6.65
2024-12-14,15.66,2.93,11.06,6.79
2024-12-15,15.78,3.05,11.23,6.95
2024-12-16,15.91,3.21,11.43,7.09
2024-12-17,16.06,3.33,11.64,7.27
2024-12-18,16.20,3.48,11.76,7.43
2024-12-19,16.34,3.62,11.86,7.60
2024-12-20,16.49,3.75,12.10,7.79
2024-12-21,16.64,3.88,12.22,7.95
2024-12-22,16.79,4.01,12.35,8.13
2024-12-23,16.94,4.12,12.48,8.27
2024-12-24,17.09,4.25,12.63,8.43
2024-12-25,17.23,4.38,12.78,8.59
2024-12-26,17.38,4.51,12.93,8.75
2024-12-27,17.54,4.63,13.06,8.93
2024-12-28,17.71,4.76,13.14,9.15
2024-12-29,17.88,4.90,13.22,9.35
2024-12-30,18.05,5.07,13.34,9.54
2024-12-31,18.22,5.24,13.44,9.72
2025-01-01,18.40,5.42,13.58,9.90
2025-01-02,18.58,5.56,13.71,10.10
2025-01-03,18.78,5.73,13.80,10.30
2025-01-04,18.99,5.92,14.03,10.52
2025-01-05,19.20,6.10,14.17,10.70
2025-01-06,19.41,6.28,14.32,10.87
2025-01-07,19.61,6.44,14.37,11.05
2025-01-08,19.80,6.55,14.42,11.23
2025-01-09,19.99,6.68,14.48,11.39
2025-01-10,20.15,6.85,14.52,11.54
2025-01-11,20.29,7.00,14.58,11.66
2025-01-12,20.43,7.12,14.64,11.77
2025-01-13,20.56,7.22,14.70,11.90
2025-01-14,20.68,7.33,14.79,12.04
2025-01-15,20.79,7.41,14.99,12.15
2025-01-16,20.90,7.56,15.19,12.24
2025-01-17,21.00,7.68,15.42,12.35
2025-01-18,21.13,7.80,15.61,12.44
2025-01-19,21.25,7.91,15.79,12.56
2025-01-20,21.38,8.03,15.95,12.63
2025-01-21,21.48,8.12,16.11,12.72
2025-01-22,21.58,8.23,16.30,12.79
2025-01-23,21.68,8.34,16.43,12.88
2025-01-24,21.77,8.43,16.58,12.97
2025-01-25,21.86,8.53,16.70,13.05
2025-01-26,21.95,8.62,16.81,13.11
2025-01-27,22.03,8.76,16.86,13.16
2025-01-28,22.09,8.75,16.91,13.20
2025-01-29,22.13,8.80,16.96,13.23
2025-01-30,22.17,8.87,17.01,13.25
2025-01-31,22.20,8.94,17.06,13.27
2025-02-01,22.21,8.98,17.10,13.27
2025-02-02,22.21,9.05,17.13,13.26
2025-02-03,22.21,9.08,17.15,13.25
2025-02-04,22.21,9.11,17.14,13.24
2025-02-05,22.23,9.13,17.19,13.22
2025-02-06,22.23,9.14,17.21,13.19
2025-02-07,22.22,9.16,17.26,13.16
2025-02-08,22.24,9.17,17.30,13.17
2025-02-09,22.26,9.21,17.33,13.16
2025-02-10,22.29,9.28,17.38,13.18
2025-02-11,22.33,9.29,17.42,13.20
2025-02-12,22.35,9.33,17.52,13.22
2025-02-13,22.39,9.40,17.60,13.26
2025-02-14,22.46,9.44,17.71,13.36
2025-02-15,22.55,9.52,17.82,13.44
2025-02-16,22.64,9.61,17.91,13.51
2025-02-17,22.73,9.68,17.98,13.57
2025-02-18,22.83,9.73,18.05,13.65
2025-02-19,22.93,9.81,18.13,13.75
2025-02-20,23.01,9.90,18.24,13.81
2025-02-21,23.10,10.00,18.33,13.91
2025-02-22,23.21,10.08,18.43,14.02
2025-02-23,23.33,10.18,18.53,14.12
2025-02-24,23.45,10.26,18.62,14.24
2025-02-25,23.57,10.36,18.70,14.36
2025-02-26,23.67,10.43,18.78,14.47
2025-02-27,23.79,10.52,18.86,14.60
2025-02-28,23.91,10.53,18.90,14.68
2025-03-01,24.00,10.69,18.95,14.79
2025-03-02,24.08,10.78,19.02,14.87
2025-03-03,24.16,10.87,19.11,14.96
2025-03-04,24.28,10.97,19.20,15.06
2025-03-05,24.41,11.08,19.26,15.16
2025-03-06,24.50,11.13,19.30,15.24
2025-03-07,24.57,11.23,19.33,15.32
2025-03-08,24.65,11.35,19.44,15.42
2025-03-09,24.73,11.42,19.50,15.52
2025-03-10,24.82,11.47,19.55,15.62
2025-03-11,24.91,11.54,19.60,15.68
2025-03-12,24.98,11.60,19.65,15.76
2025-03-13,25.03,11.63,19.69,15.82
2025-03-14,25.08,11.68,19.73,15.89
2025-03-15,25.13,11.77,19.79,15.93
2025-03-16,25.19,11.81,19.83,15.97
2025-03-17,25.26,11.87,19.88,16.04
2025-03-18,25.31,11.94,19.93,16.10
2025-03-19,25.36,11.99,19.97,16.18
2025-03-20,25.47,12.05,20.07,16.29
2025-03-21,25.57,12.10,20.11,16.33
2025-03-22,25.61,12.16,20.16,16.38
2025-03-23,25.65,12.22,20.20,16.44
2025-03-24,25.70,12.26,20.23,16.49
2025-03-25,25.75,12.29,20.28,16.54
2025-03-26,25.81,12.35,20.34,16.63
2025-03-27,25.86,12.41,20.38,16.67
2025-03-28,25.91,12.47,20.39,16.72
2025-03-29,25.95,12.49,20.42,16.76
2025-03-30,25.99,12.55,20.47,16.80
2025-03-31,26.03,12.57,20.51,16.85
2025-04-01,26.07,12.62,20.58,16.91
2025-04-02,26.11,12.68,20.61,16.95
2025-04-03,26.15,12.71,20.67,16.99
2025-04-04,26.19,12.75,20.73,17.05
2025-04-05,26.23,12.78,20.78,17.11
2025-04-06,26.27,12.83,20.79,17.16
2025-04-07,26.32,12.87,20.84,17.21
2025-04-08,26.36,12.91,20.91,17.25
2025-04-09,26.41,12.96,20.96,17.31
2025-04-10,26.47,13.00,21.03,17.37
2025-04-11,26.53,13.05,21.08,17.43
2025-04-12,26.59,13.11,21.13,17.49
2025-04-13,26.65,13.16,21.18,17.57
2025-04-14,26.72,13.23,21.22,17.59
2025-04-15,26.78,13.27,21.27,17.65
2025-04-16,26.85,13.32,21.31,17.70
2025-04-17,26.91,13.37,21.33,17.75
2025-04-18,26.97,13.41,21.37,17.80
2025-04-19,27.03,13.47,21.41,17.85
2025-04-20,27.09,13.49,21.43,17.91
2025-04-21,27.15,13.54,21.44,17.97
2025-04-22,27.22,13.57,21.45,18.01
2025-04-23,27.28,13.62,21.49,18.05
2025-04-24,27.34,13.67,21.52,18.12
2025-04-25,27.39,13.68,21.52,18.17
2025-04-26,27.44,13.72,21.50,18.20
2025-04-27,27.49,13.74,21.50,18.20
2025-04-28,27.56,13.80,21.51,18.25
2025-04-29,27.60,13.83,21.54,18.40
2025-04-30,27.68,13.85,21.54,18.45
2025-05-01,27.73,13.94,21.54,18.51
2025-05-02,27.78,13.97,21.54,18.55
2025-05-03,27.82,13.99,21.54,18.60
2025-05-04,27.86,14.02,21.54,18.64
2025-05-05,27.90,14.04,21.52,18.67
2025-05-06,27.92,14.06,21.50,18.71
2025-05-07,27.96,14.09,21.50,18.74
2025-05-08,27.99,14.11,21.50,18.77
2025-05-09,28.02,14.14,21.47,18.80
2025-05-10,28.05,14.15,21.48,18.83
2025-05-11,28.07,14.16,21.47,18.86
2025-05-12,28.09,14.16,21.44,18.90
2025-05-13,28.12,14.18,21.41,18.93
2025-05-14,28.14,14.20,21.37,18.94
2025-05-15,28.17,14.22,21.30,18.97
2025-05-16,28.21,14.23,21.23,19.01
2025-05-17,28.25,14.25,21.16,19.04
2025-05-18,28.29,14.28,21.12,19.07
2025-05-19,28.32,14.30,21.06,19.13
2025-05-20,28.35,14.31,21.00,19.15
2025-05-21,28.38,14.30,20.98,19.19
2025-05-22,28.40,14.32,20.94,19.20
2025-05-23,28.42,14.33,20.89,19.23
2025-05-24,28.45,14.34,20.84,19.26
2025-05-25,28.47,14.35,20.79,19.29
2025-05-26,28.49,14.36,20.76,19.30
2025-05-27,28.51,14.36,20.72,19.32
2025-05-28,28.54,14.36,20.70,19.33
2025-05-29,28.55,14.35,20.68,19.34
2025-05-30,28.57,14.36,20.65,19.38
2025-05-31,28.59,14.35,20.62,19.39
2025-06-01,28.60,14.35,20.59,19.41
2025-06-02,28.61,14.38,20.53,19.42
2025-06-03,28.65,14.37,20.49,19.45
2025-06-04,28.66,14.37,20.44,19.46
2025-06-05,28.68,14.38,20.39,19.47
2025-06-06,28.69,14.38,20.34,19.49
2025-06-07,28.71,14.39,20.29,19.50
2025-06-08,28.74,14.41,20.25,19.52
2025-06-09,28.76,14.40,20.18,19.54
2025-06-10,28.78,14.41,20.13,19.56
2025-06-11,28.79,14.41,20.09,19.59
2025-06-12,28.81,14.40,20.04,19.61
2025-06-13,28.85,14.42,19.94,19.62
2025-06-14,28.86,14.43,19.87,19.62
2025-06-15,28.87,14.43,19.86,19.62
2025-06-16,28.89,14.43,19.82,19.63
2025-06-17,28.90,14.43,19.77,19.65
2025-06-18,28.91,14.43,19.74,19.65
2025-06-19,28.92,14.44,19.69,19.66
2025-06-20,28.93,14.41,19.60,19.67
2025-06-21,28.94,14.41,19.58,19.68
2025-06-22,28.95,14.42,19.53,19.69
2025-06-23,28.96,14.42,19.49,19.69
2025-06-24,28.97,14.41,19.44,19.70
2025-06-25,28.97,14.41,19.44,19.70
2025-06-26,28.98,14.41,19.38,19.70
2025-06-27,28.99,14.40,19.38,19.71
2025-06-28,29.00,14.42,19.35,19.72
2025-06-29,29.01,14.41,19.33,19.73
2025-06-30,29.02,14.42,19.30,19.74
2025-07-01,29.02,14.41,19.28,19.74
2025-07-02,29.02,14.41,19.27,19.75
2025-07-03,29.03,14.42,19.27,19.74
2025-07-04,29.04,14.44,19.27,19.74
2025-07-05,29.05,14.44,19.27,19.74
2025-07-06,29.05,14.42,19.27,19.74
2025-07-07,29.05,14.42,19.24,19.74
2025-07-08,29.05,14.40,19.20,19.72
2025-07-09,29.03,14.37,19.13,19.71
2025-07-10,29.01,14.35,19.07,19.70
2025-07-11,28.99,14.35,18.97,19.69
2025-07-12,28.97,14.34,18.94,19.68
2025-07-13,28.96,14.32,18.87,19.67
2025-07-14,28.95,14.30,18.81,19.66
2025-07-15,28.93,14.27,18.77,19.64
2025-07-16,28.91,14.25,18.74,19.61
2025-07-17,28.89,14.23,18.72,19.59
2025-07-18,28.87,14.22,18.58,19.57
2025-07-19,28.85,14.21,18.52,19.55
2025-07-20,28.82,14.20,18.43,19.54
2025-07-21,28.79,14.17,18.36,19.52
2025-07-22,28.77,14.14,18.30,19.49
2025-07-23,28.75,14.10,18.23,19.45
2025-07-24,28.72,14.08,18.17,19.41
2025-07-25,28.69,14.05,18.07,19.39
2025-07-26,28.67,14.02,17.98,19.36
2025-07-27,28.64,14.00,17.92,19.35
2025-07-28,28.61,13.98,17.94,19.29
2025-07-29,28.58,13.94,17.85,19.25
2025-07-30,28.55,13.89,17.68,19.21
2025-07-31,28.52,13.87,17.63,19.19
